source,source_id,name,operator,city,country,latitude,longitude,net_count,ix_count,confidence,source_url,license_note
PeeringDB,1,"Equinix DC1-DC15,DC21-DC22 - Ashburn","Equinix, Inc.",Ashburn,US,39.016363,-77.459023,504,8,high,https://www.peeringdb.com/fac/1,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,2,Digital Realty SFO (200 Paul),Digital Realty,San Francisco,US,37.723407,-122.397923,44,2,high,https://www.peeringdb.com/fac/2,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,4,Equinix DA1 - Dallas,"Equinix, Inc.",Dallas,US,32.800955,-96.81955,168,5,high,https://www.peeringdb.com/fac/4,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,5,"Equinix SV8 - Silicon Valley, Palo Alto","Equinix, Inc.",Palo Alto,US,37.445896,-122.160775,67,4,high,https://www.peeringdb.com/fac/5,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,6,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose","Equinix, Inc.",San Jose,US,37.241767,-121.782967,282,8,high,https://www.peeringdb.com/fac/6,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,7,Equinix CH1/CH2/CH4 - Chicago,"Equinix, Inc.",Chicago,US,41.85365,-87.618342,329,10,high,https://www.peeringdb.com/fac/7,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,8,Equinix LA1 - Los Angeles,"Equinix, Inc.",Los Angeles,US,34.047501,-118.2573,141,6,high,https://www.peeringdb.com/fac/8,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,9,"Equinix NY1 - New York, Newark","Equinix, Inc.",Newark,US,40.736844,-74.173402,35,2,high,https://www.peeringdb.com/fac/9,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,10,Digital Realty NYC (60 Hudson),Digital Realty,New York,US,40.717723,-74.008299,163,8,high,https://www.peeringdb.com/fac/10,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,11,Equinix AT2/AT3 - Atlanta,"Equinix, Inc.",Atlanta,US,33.755456,-84.39153,24,1,high,https://www.peeringdb.com/fac/11,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,12,Equinix TR1 - Toronto,"Equinix, Inc.",Toronto,CA,43.644672,-79.384128,46,5,high,https://www.peeringdb.com/fac/12,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,15,"Equinix MI1 - Miami, NOTA","Equinix, Inc.",Miami,US,25.782648,-80.193157,327,9,high,https://www.peeringdb.com/fac/15,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,16,Digital Realty NYC (111 8th Ave),Digital Realty,New York,US,40.741469,-74.003387,131,6,high,https://www.peeringdb.com/fac/16,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,18,NIKHEF Amsterdam,Nikhef,Amsterdam,NL,52.356394,4.950837,467,29,high,https://www.peeringdb.com/fac/18,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
PeeringDB,19,CoreSite - Los Angeles (LA1) One Wilshire,CoreSite,Los Angeles,US,34.047942,-118.255564,339,5,high,https://www.peeringdb.com/fac/19,PeeringDB public/user-maintained facility data; verify downstream license and attribution requirements before commercial redistribution.
